unique_id,long,lat,year,source,crop,treatment,n_kgpha,p_kgpha,k_kgpha,grain_yield_kgpha
2565_443,39.653183,11.354933,2020,ARARI,Teff,Control,0,0,0,14
2563_441,39.667117,11.3751,2020,ARARI,Teff,Control,0,0,0,16
2465_402,37.7038,7.492133,2020,SARI,Teff,Control,0,0,0,18
2509_418,39.67725,11.366533,2020,ARARI,Teff,Control,0,0,0,20
2510_419,39.6646,11.371717,2020,ARARI,Teff,Control,0,0,0,22
2561_440,39.66325,11.37245,2020,ARARI,Teff,Control,0,0,0,35
2564_442,39.670967,11.3792,2020,ARARI,Teff,Control,0,0,0,41
EIAR_150_1635,37.84752,8.28514,2021,EIAR,Teff,NKSZnB,75,25,49.8,43.66666667
EIAR_150_1640,37.84752,8.28514,2021,EIAR,Teff,Control,0,0,0,46.5625
EIAR_150_1641,37.84752,8.28514,2021,EIAR,Teff,Control,0,0,0,48.35416667
2508_417,39.667533,11.35865,2020,ARARI,Teff,Control,0,0,0,50
2511_420,39.661,11.369,2020,ARARI,Teff,Control,0,0,0,53
1149_20,38.93871,8.72777,2020,ICRISAT,Teff,Control,0,0,0,67
1232_58,37.941433,7.629233,2020,SARI,Teff,Control,0,0,0,74
1323_99,37.67785,7.1351,2020,SARI,Teff,Control,0,0,0,80
ARARI_64_818,37.619194,11.213111,2021,ARARI,Teff,Control,0,0,0,82.5
EIAR_151_1666,37.82789,8.36862,2021,EIAR,Teff,Control,0,0,0,117.03125
1381_115,37.704817,7.119383,2020,SARI,Teff,Control,0,0,0,126
1320_96,37.6874,7.135433,2020,SARI,Teff,Control,0,0,0,139
1655_185,37.729203,10.419477,2020,ARARI,Teff,Control,0,0,0,139
ARARI_66_877,37.473222,11.296583,2021,ARARI,Teff,Control,0,0,0,147.5
EIAR_184_2645,38.248028,8.979167,2021,EIAR,Teff,Control,0,0,0,156.875
EIAR_150_1634,37.84752,8.28514,2021,EIAR,Teff,NKSZnB,75,25,49.8,160.2604167
OARI_100_3426,37.377,9.526,2021,OARI,Teff,Control,0,0,0,165.7344319
1231_57,37.941933,7.6282,2020,SARI,Teff,Control,0,0,0,167
EIAR_155_1775,37.81002,8.304098,2021,EIAR,Teff,Control,0,0,0,170.5104167
EIAR_150_1639,37.84752,8.28514,2021,EIAR,Teff,Control,0,0,0,177.5208333
1809_250,37.805883,7.506383,2020,SARI,Teff,Control,0,0,0,180
ARARI_64_813,37.619194,11.213111,2021,ARARI,Teff,PKSZnB,0,20.1,49.8,180.8333333
1233_59,37.941367,7.629167,2020,SARI,Teff,Control,0,0,0,185
1656_186,37.735594,10.415868,2020,ARARI,Teff,Control,0,0,0,185
1379_113,37.691983,7.14245,2020,SARI,Teff,Control,0,0,0,190
2706_489,37.77,12.452,2020,ARARI,Teff,Control,0,0,0,200
ARARI_64_811,37.619194,11.213111,2021,ARARI,Teff,PKSZnB,0,20.1,49.8,208.3333333
ARARI_64_819,37.619194,11.213111,2021,ARARI,Teff,Control,0,0,0,209.1666667
1147_19,38.93707,8.72759,2020,ICRISAT,Teff,Control,0,0,0,217
1804_245,37.805883,7.506383,2020,SARI,Teff,Control,0,0,0,219
OARI_117_3779,35.23414,9.05081,2021,OARI,Teff,PKSZnB,0,20.1,49.8,222.2222222
2527_424,39.667117,11.3751,2020,ARARI,Teff,NPSZnB,60,16.6,0,229
2526_423,39.66325,11.37245,2020,ARARI,Teff,NPSZnB,60,16.6,0,229
1808_249,37.805883,7.506383,2020,SARI,Teff,Control,0,0,0,231
ARARI_66_871,37.473222,11.296583,2021,ARARI,Teff,PKSZnB,0,20.1,49.8,244.1666667
2637_471,39.661983,11.372533,2020,ARARI,Teff,Control,0,0,0,246
1382_116,37.6865,7.14245,2020,SARI,Teff,Control,0,0,0,250
2709_491,37.763,12.441,2020,ARARI,Teff,Control,0,0,0,250
EIAR_152_1693,37.95051,8.31853,2021,EIAR,Teff,Control,0,0,0,250
SARI_47_4373,37.645,8.262,2021,SARI,Teff,NP,92,30.1,0,250
SARI_54_4583,37.713,8.28,2021,SARI,Teff,NP,92,30.1,0,250
SARI_54_4578,37.713,8.28,2021,SARI,Teff,PKSZnB,0,30.1,49.8,250
2707_490,37.77,12.452,2020,ARARI,Teff,Control,0,0,0,256
1485_149,37.704817,7.119383,2020,SARI,Teff,Control,0,0,0,257
ARARI_63_789,37.594222,11.199083,2021,ARARI,Teff,Control,0,0,0,262.5
1151_22,38.92435,8.73108,2020,ICRISAT,Teff,Control,0,0,0,264
1805_246,37.813317,7.508933,2020,SARI,Teff,Control,0,0,0,265
EIAR_153_1721,37.86945,8.24482,2021,EIAR,Teff,Control,0,0,0,267.8125
EIAR_154_1741,37.84864,8.32194,2021,EIAR,Teff,NPSZnB,75,25,0,268.5520833
ARARI_63_783,37.594222,11.199083,2021,ARARI,Teff,PKSZnB,0,20.1,49.8,272.5
EIAR_169_2194,37.91365,8.96672,2021,EIAR,Teff,Control,0,0,0,272.5
ARARI_67_909,37.481417,11.292639,2021,ARARI,Teff,Control,0,0,0,274.1666667
ARARI_66_878,37.473222,11.296583,2021,ARARI,Teff,Control,0,0,0,275
ARARI_66_873,37.473222,11.296583,2021,ARARI,Teff,PKSZnB,0,20.1,49.8,286.6666667
2363_377,37.343,7.76161,2020,ICRISAT,Teff,Control,0,0,0,290
ARARI_62_759,37.592833,11.161028,2021,ARARI,Teff,Control,0,0,0,290.8333333
OARI_100_3424,37.377,9.526,2021,OARI,Teff,NP,69,20.1,0,292.7964799
EIAR_204_3246,38.915,8.266,2021,EIAR,Teff,Control,0,0,0,293.3333333
2365_379,37.339493,7.756999,2020,ICRISAT,Teff,Control,0,0,0,294
EIAR_150_1633,37.84752,8.28514,2021,EIAR,Teff,NKSZnB,75,25,49.8,294.7916667
1230_56,38.260533,7.629483,2020,SARI,Teff,Control,0,0,0,296
ARARI_67_908,37.481417,11.292639,2021,ARARI,Teff,Control,0,0,0,297.5
12055_38.414315_9.827491,38.414315,9.827491,2006,P_calibration NSRC,Teff,P,0,20.08733624,0,300.7275
12760_39.240625_8.791073,39.240625,8.791073,2006,P_calibration NSRC,Teff,N,138,0,0,300.7877238
12481_39.194915_8.718477,39.194915,8.718477,2006,P_calibration NSRC,Teff,NP,46,10.04366812,0,301.1253197
12715_39.175237_8.758412,39.175237,8.758412,2006,P_calibration NSRC,Teff,NP,46,20.08733624,0,301.2506394
12566_39.201675_8.756444,39.201675,8.756444,2006,P_calibration NSRC,Teff,NP,138,10.04366812,0,301.314578
12048_38.414315_9.827491,38.414315,9.827491,2006,P_calibration NSRC,Teff,NP,138,10.04366812,0,301.785
1860_259,37.134133,7.502567,2020,SARI,Teff,Control,0,0,0,302
12807_39.200308_8.626285,39.200308,8.626285,2006,P_calibration NSRC,Teff,P,0,10.04366812,0,302.6419437
12747_39.175237_8.758412,39.175237,8.758412,2006,P_calibration NSRC,Teff,NP,138,10.04366812,0,302.665601
12628_39.245303_8.632055,39.245303,8.632055,2006,P_calibration NSRC,Teff,NP,46,20.08733624,0,303.7014066
2775_517,37.768,12.438,2020,ARARI,Teff,Control,0,0,0,304
8834_38.988469_8.657353,38.988469,8.657353,2015,ATA_Balanced_Fertilizer_Trial,Teff,NPKSZnB,60,17.03056769,17.3553719,305
19759_37.040804_10.654214,37.040804,10.654214,2011,Cascape,Teff,Control,0,0,0,306
1380_114,37.704817,7.119383,2020,SARI,Teff,Control,0,0,0,306
2635_469,39.666167,11.374317,2020,ARARI,Teff,Control,0,0,0,306
12742_39.175237_8.758412,39.175237,8.758412,2006,P_calibration NSRC,Teff,NP,92,10.04366812,0,306.1086957
EIAR_153_1720,37.86945,8.24482,2021,EIAR,Teff,Control,0,0,0,306.75
12550_39.201675_8.756444,39.201675,8.756444,2006,P_calibration NSRC,Teff,NP,46,40.17467249,0,306.8222506
1458_140,38.56877,8.18828,2020,ICRISAT,Teff,Control,0,0,0,308
12523_39.181941_8.656755,39.181941,8.656755,2006,P_calibration NSRC,Teff,P,0,10.04366812,0,308.2768542
12671_39.174439_8.798595,39.174439,8.798595,2006,P_calibration NSRC,Teff,NPK,138,40.17467249,49.58677686,309.0140665
19409_37.422243_9.466765,37.422243,9.466765,2006,P_calibration NSRC,Teff,N,92,0,0,310
19558_37.422243_9.466765,37.422243,9.466765,2006,P_calibration NSRC,Teff,NP,138,10.04366812,0,310
EIAR_153_1716,37.86945,8.24482,2021,EIAR,Teff,NKSZnB,75,25,49.8,310.8333333
16578_36.923531_11.315188,36.923531,11.315188,2007,P_calibration NSRC,Teff,N,46,0,0,311.1111111
12496_39.181941_8.656755,39.181941,8.656755,2006,P_calibration NSRC,Teff,N,138,0,0,311.3638107
12794_39.200308_8.626285,39.200308,8.626285,2006,P_calibration NSRC,Teff,NPK,138,40.17467249,49.58677686,311.6662404
OARI_100_3425,37.377,9.526,2021,OARI,Teff,Control,0,0,0,311.8563494
12815_39.200308_8.626285,39.200308,8.626285,2006,P_calibration NSRC,Teff,NP,46,10.04366812,0,311.943734
2634_468,39.653367,11.355717,2020,ARARI,Teff,Control,0,0,0,312
14824_38.218389_10.320614,38.218389,10.320614,2003,P_calibration NSRC,Teff,P,0,10.04366812,0,312.2222222
9154_37.728777_7.068563,37.728777,7.068563,2015,ATA_Balanced_Fertilizer_Trial,Teff,NP,64,20.08733624,0,312.5
9157_37.728777_7.068563,37.728777,7.068563,2015,ATA_Balanced_Fertilizer_Trial,Teff,NPSZnB,63,14.84716157,0,312.5
14959_38.220756_10.330885,38.220756,10.330885,2003,P_calibration NSRC,Teff,P,0,40.17467249,0,313.3333333
12665_39.174439_8.798595,39.174439,8.798595,2006,P_calibration NSRC,Teff,NP,92,10.04366812,0,313.362532
12533_39.201675_8.756444,39.201675,8.756444,2006,P_calibration NSRC,Teff,NP,46,40.17467249,0,313.8241688
